"Dialogs boxes","Диалоги"
"Enable in backend","Добавить в backend"
"Enable in frontend","Добавить в frontend"
"Photo gallery","Фото галлерея"
"Update on hover","Обновлять при наведении"
"Main picture","Основное изображение"
"Thumbnails","Миниатюры"
"%s kB","%s Кб"
"%s MB","%s Мб"
"%s GB","%s ГБ"
"[strong]Warning[/strong], the following files were not saved:","[strong]Внимание[/strong], эти файлы не сохранены:"
"[strong]However[/strong], the following files were successfully saved:","[strong]Однако[/strong], эти файлы были успешно сохранены:"
"Add one or multiple files","Добавьте один или несколько файлов"
"PHP manual","Руководство по PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Важно заметить, что то что письмо было принято для передачи вовсе не означает что оно достигло получателя."
"Example %d","Пример %d"
"Surprise!","Сюрприз!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Смотрите видео без проприетарного расширения благодаря новому тегу [em]video[/em] включенному в состав [strong]HTML 5[/strong]."
"Website: %s","Вебсайт: %s"
"You can use one of the following lines to test this module on the frontend:","Вы можете использовать одну из этих строк для тестирования этого модуля на frontend:"
"Rename","Переименовать"
"Label and Sort order","Заголовок и Порядок сортировки"
"The added or removed images are automatically saved.","Добавленные или удаленные изображения сохраняются автоматически."