"Check browser version","Tarayıcı versiyonunu kontrol et"
"Photo gallery","Fotoğraf Galerisi"
"[strong]Warning[/strong], the following files were not saved:","[strong]Uyarı[/strong], aşağıdaki dosyalar yüklenmedi :"
"[strong]However[/strong], the following files were successfully saved:","[strong]Hernasılsa[/strong], aşağıdaki dosyalar başarıyla yüklendi :"
"The file extension can not be changed.","Dosya uzantısı değiştirilemez."
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Uyari :</strong> tarayıcınız <strong>%s %s</strong> eski, lütfen <a %s>güncelleyiniz</a>."
"PHP manual","PHP Kılavuzu"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Yalnız şuna dikkat edin : Epostanın sunucu tarafından teslim alınması, epostanın alıcısına ulaştığı anlamına gelmez."
"Example %d","Örnek %d"
"Surprise!","Sürpriz!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Bu videoyu [strong]HTML 5[/strong] dilindeki [em]video[/em] tanımlayıcısı sayesinde herhangi bir eklentiye ihtiyaç olmadan izlemektesiniz."
"Website: %s","Web sitesi : %s"
"Directories size:","Klasör boyutu :"
"clear cache","önbelleği temizle"
"Rename","Yeniden adlandır"
"Label and Sort order","İsim ve Sıralama"
"Hide","Gizle"
"Remove all","Tümünü kaldır"